cell,x,y,term,id
1,-122.452089793226,37.70177690268117,library,1
1,-122.452089793226,37.70177690268117,community center,2
1,-122.452089793226,37.70177690268117,city hall,3
1,-122.452089793226,37.70177690268117,place of worship,4
1,-122.452089793226,37.70177690268117,park,5
1,-122.452089793226,37.70177690268117,fountain,6
1,-122.452089793226,37.70177690268117,square,7
1,-122.452089793226,37.70177690268117,garden,8
1,-122.452089793226,37.70177690268117,bookstore,9
1,-122.452089793226,37.70177690268117,cafe,10
2,-122.42898921588905,37.706459270194884,library,11
2,-122.42898921588905,37.706459270194884,community center,12
2,-122.42898921588905,37.706459270194884,city hall,13
2,-122.42898921588905,37.706459270194884,place of worship,14
2,-122.42898921588905,37.706459270194884,park,15
2,-122.42898921588905,37.706459270194884,fountain,16
2,-122.42898921588905,37.706459270194884,square,17
2,-122.42898921588905,37.706459270194884,garden,18
2,-122.42898921588905,37.706459270194884,bookstore,19
2,-122.42898921588905,37.706459270194884,cafe,20
3,-122.40588541546437,37.711137617158954,library,21
3,-122.40588541546437,37.711137617158954,community center,22
3,-122.40588541546437,37.711137617158954,city hall,23
3,-122.40588541546437,37.711137617158954,place of worship,24
3,-122.40588541546437,37.711137617158954,park,25
3,-122.40588541546437,37.711137617158954,fountain,26
3,-122.40588541546437,37.711137617158954,square,27
3,-122.40588541546437,37.711137617158954,garden,28
3,-122.40588541546437,37.711137617158954,bookstore,29
3,-122.40588541546437,37.711137617158954,cafe,30
4,-122.38277839402247,37.71581194285625,library,31
4,-122.38277839402247,37.71581194285625,community center,32
4,-122.38277839402247,37.71581194285625,city hall,33
4,-122.38277839402247,37.71581194285625,place of worship,34
4,-122.38277839402247,37.71581194285625,park,35
4,-122.38277839402247,37.71581194285625,fountain,36
4,-122.38277839402247,37.71581194285625,square,37
4,-122.38277839402247,37.71581194285625,garden,38
4,-122.38277839402247,37.71581194285625,bookstore,39
4,-122.38277839402247,37.71581194285625,cafe,40
5,-122.35966815363601,37.72048224657004,library,41
5,-122.35966815363601,37.72048224657004,community center,42
5,-122.35966815363601,37.72048224657004,city hall,43
5,-122.35966815363601,37.72048224657004,place of worship,44
5,-122.35966815363601,37.72048224657004,park,45
5,-122.35966815363601,37.72048224657004,fountain,46
5,-122.35966815363601,37.72048224657004,square,47
5,-122.35966815363601,37.72048224657004,garden,48
5,-122.35966815363601,37.72048224657004,bookstore,49
5,-122.35966815363601,37.72048224657004,cafe,50
6,-122.50491127455865,37.708747537803426,library,51
6,-122.50491127455865,37.708747537803426,community center,52
6,-122.50491127455865,37.708747537803426,city hall,53
6,-122.50491127455865,37.708747537803426,place of worship,54
6,-122.50491127455865,37.708747537803426,park,55
6,-122.50491127455865,37.708747537803426,fountain,56
6,-122.50491127455865,37.708747537803426,square,57
6,-122.50491127455865,37.708747537803426,garden,58
6,-122.50491127455865,37.708747537803426,bookstore,59
6,-122.50491127455865,37.708747537803426,cafe,60
7,-122.48181198565845,37.71343896144912,library,61
7,-122.48181198565845,37.71343896144912,community center,62
7,-122.48181198565845,37.71343896144912,city hall,63
7,-122.48181198565845,37.71343896144912,place of worship,64
7,-122.48181198565845,37.71343896144912,park,65
7,-122.48181198565845,37.71343896144912,fountain,66
7,-122.48181198565845,37.71343896144912,square,67
7,-122.48181198565845,37.71343896144912,garden,68
7,-122.48181198565845,37.71343896144912,bookstore,69
7,-122.48181198565845,37.71343896144912,cafe,70
8,-122.45870946724055,37.71812636534604,library,71
8,-122.45870946724055,37.71812636534604,community center,72
8,-122.45870946724055,37.71812636534604,city hall,73
8,-122.45870946724055,37.71812636534604,place of worship,74
8,-122.45870946724055,37.71812636534604,park,75
8,-122.45870946724055,37.71812636534604,fountain,76
8,-122.45870946724055,37.71812636534604,square,77
8,-122.45870946724055,37.71812636534604,garden,78
8,-122.45870946724055,37.71812636534604,bookstore,79
8,-122.45870946724055,37.71812636534604,cafe,80
9,-122.43560372137236,37.72280974877572,library,81
9,-122.43560372137236,37.72280974877572,community center,82
9,-122.43560372137236,37.72280974877572,city hall,83
9,-122.43560372137236,37.72280974877572,place of worship,84
9,-122.43560372137236,37.72280974877572,park,85
9,-122.43560372137236,37.72280974877572,fountain,86
9,-122.43560372137236,37.72280974877572,square,87
9,-122.43560372137236,37.72280974877572,garden,88
9,-122.43560372137236,37.72280974877572,bookstore,89
9,-122.43560372137236,37.72280974877572,cafe,90
10,-122.41249475012334,37.72748911102004,library,91
10,-122.41249475012334,37.72748911102004,community center,92
10,-122.41249475012334,37.72748911102004,city hall,93
10,-122.41249475012334,37.72748911102004,place of worship,94
10,-122.41249475012334,37.72748911102004,park,95
10,-122.41249475012334,37.72748911102004,fountain,96
10,-122.41249475012334,37.72748911102004,square,97
10,-122.41249475012334,37.72748911102004,garden,98
10,-122.41249475012334,37.72748911102004,bookstore,99
10,-122.41249475012334,37.72748911102004,cafe,100
11,-122.38938255556509,37.732164451361214,library,101
11,-122.38938255556509,37.732164451361214,community center,102
11,-122.38938255556509,37.732164451361214,city hall,103
11,-122.38938255556509,37.732164451361214,place of worship,104
11,-122.38938255556509,37.732164451361214,park,105
11,-122.38938255556509,37.732164451361214,fountain,106
11,-122.38938255556509,37.732164451361214,square,107
11,-122.38938255556509,37.732164451361214,garden,108
11,-122.38938255556509,37.732164451361214,bookstore,109
11,-122.38938255556509,37.732164451361214,cafe,110
12,-122.3662671397713,37.736835769081836,library,111
12,-122.3662671397713,37.736835769081836,community center,112
12,-122.3662671397713,37.736835769081836,city hall,113
12,-122.3662671397713,37.736835769081836,place of worship,114
