name,cell
charlotte,476
charlotte,477
charlotte,502
charlotte,503
dc,25
dc,39
dc,49
dc,59
dc,60
dc,69
dc,70
dc,71
dc,72
dc,73
dc,74
dc,86
dc,87
dc,88
dc,89
dc,90
la,756
la,757
la,760
la,761
la,800
la,801
la,802
la,803
la,804
la,805
la,806
la,844
la,845
la,846
la,847
la,849
la,850
la,871
la,888
la,889
la,891
la,893
la,894
la,912
la,913
la,914
la,915
la,931
la,932
la,933
la,934
la,935
la,936
la,938
la,956
la,957
la,960
la,979
la,980
la,981
la,982
la,986
la,1004
la,1008
la,1027
la,1028
la,1033
la,1050
la,1051
la,1055
la,1074
la,1079
la,1080
la,1096
la,1097
la,1100
la,1101
la,1114
la,1115
la,1120
la,1135
la,1136
la,1137
la,1138
la,1146
la,1147
la,1148
la,1149
la,1150
la,1151
la,1173
la,1174
la,1176
nyc,684
nyc,685
nyc,707
nyc,708
nyc,731
nyc,732
nyc,756
nyc,757
nyc,758
nyc,782
nyc,783
nyc,805
nyc,806
nyc,911
nyc,921
nyc,922
nyc,923
nyc,934
nyc,935
nyc,949
nyc,950
nyc,963
nyc,964
philadelphia,121
philadelphia,122
philadelphia,130
philadelphia,131
philadelphia,132
philadelphia,133
philadelphia,134
philadelphia,142
philadelphia,143
philadelphia,144
philadelphia,145
philadelphia,155
philadelphia,156
philadelphia,157
philadelphia,168
philadelphia,169
philadelphia,170
philadelphia,181
philadelphia,182
philadelphia,183
phoenix,38
phoenix,39
phoenix,40
phoenix,41
phoenix,42
phoenix,43
phoenix,54
phoenix,55
phoenix,60
phoenix,61
phoenix,62
phoenix,63
phoenix,64
phoenix,65
phoenix,66
phoenix,71
phoenix,83
phoenix,88
phoenix,89
phoenix,101
phoenix,102
phoenix,103
phoenix,107
phoenix,108
phoenix,109
phoenix,110
phoenix,111
phoenix,122
phoenix,123
phoenix,131
phoenix,132
phoenix,133
phoenix,134
phoenix,135
phoenix,137
phoenix,138
phoenix,139
phoenix,140
phoenix,144
phoenix,145
phoenix,155
phoenix,156
phoenix,157
phoenix,158
phoenix,159
phoenix,160
phoenix,161
phoenix,162
phoenix,163
phoenix,164
phoenix,165
phoenix,186
san_diego,259
san_diego,260
san_diego,261
san_diego,278
san_diego,279
san_diego,280
san_diego,281
san_diego,298
san_diego,299
san_diego,300
san_diego,301
san_francisco,96
san_francisco,97
san_francisco,98
san_francisco,99
san_francisco,100
san_francisco,106
san_francisco,107
san_francisco,108
san_francisco,109
san_francisco,110
san_francisco,111
san_francisco,118
san_francisco,119
