groupid,name,estimate0,estimate1,estimate,lower,upper,prob1,prob2
1,austin,0.5614405242125631,0.5634163759700467,0.001891740993328006,-0.006839127375995952,0.010949793449219364,0.338,0.676
1,boston,0.5137872866644153,0.5166617897873611,0.0028363777851953542,-0.007075425756934211,0.0136817293785385,0.267,0.534
1,charlotte,0.4585033546863009,0.4603631941615459,0.0016163284169182501,-0.006546969842473455,0.010819086022759933,0.357,0.714
1,chicago,0.4897606685023606,0.49696874394575424,0.007165745093436732,0.002394378125503775,0.012102887841241371,0.003,0.006
1,columbus,0.5600564059132273,0.5622541074907274,0.0022344747165777834,-0.005892109046923177,0.010234745115290635,0.301,0.602
1,dallas,0.44140555370377194,0.44246087791026667,0.0010394761489593562,-0.005547717435670965,0.007660104420938254,0.377,0.754
1,dc,0.6250400014003265,0.62528510950889,2.3966613647469215e-4,-0.009494174405749558,0.00954011766454248,0.484,0.968
1,denver,0.5731139444565059,0.5744585348644381,0.0012826416672848118,-0.009274855674760904,0.01152675396884976,0.403,0.806
1,el_paso,0.4627147019742436,0.4624171665124879,-2.547810882660151e-4,-0.012543017657527416,0.010632827699440331,0.48,0.96
1,fort_worth,0.4473405469918426,0.4490078595535605,0.0018340364563101952,-0.007036772958579354,0.01052419197602958,0.347,0.694
1,houston,0.46077255454257693,0.4614825919677138,7.993014150764477e-4,-0.003610850514539425,0.00514986759115797,0.355,0.71
1,indianapolis,0.5327196539446519,0.5348227997664174,0.002067770151220394,-0.0069783159287557205,0.011079736091020916,0.332,0.664
1,jacksonville,0.5311875497107941,0.5322961839702892,0.00114822661854741,-0.008809744150618104,0.011341628757448426,0.401,0.802
1,la,0.428771797910762,0.43257178861587015,0.0039013842505932206,-9.325726863326319e-4,0.008658486967259875,0.052,0.104
1,nashville,0.5564173216715598,0.5577249259993966,0.0016897545082242837,-0.009013826680080701,0.012182357114072,0.38,0.76
1,nyc,0.4337307611947294,0.4518851623526959,0.018244508643615653,0.015355090527322774,0.021367366585171698,0,0
1,oklahoma,0.5417783879697233,0.5431272644486023,0.0013863268746844848,-0.007468051743908568,0.009701810218927912,0.37,0.74
1,philadelphia,0.5081450581915641,0.5134233865864024,0.005237712963146235,-0.002031739006391861,0.012540849105018896,0.088,0.176
1,phoenix,0.44765170007661165,0.4511686579923989,0.003595540710660483,-0.0030563662443428884,0.010303659382611243,0.158,0.316
1,portland,0.5316981566467112,0.5327982892857659,0.001132790069736378,-0.01016196868538014,0.011299956894112985,0.433,0.866
1,san_antonio,0.48506667967641415,0.4863008021348666,0.0012945509679392342,-0.006331062643322859,0.008691312021677848,0.354,0.708
1,san_diego,0.5004818249715622,0.5023504957947844,0.001970402330022464,-0.005286860996071126,0.009197127972510507,0.309,0.618
1,san_francisco,0.5316034846239939,0.5329216318426963,0.0014990262611564442,-0.008097546267892077,0.010905765014638982,0.382,0.764
1,san_jose,0.46269528037485846,0.4659811181387703,0.0034224361023418026,-0.005702569844370573,0.011643607172264805,0.241,0.482
1,seattle,0.5811917599759702,0.5845135466904414,0.003244072765125894,-0.006925028700345534,0.013228927894719382,0.26,0.52
2,austin,0.47790058476893094,0.47694860565337527,-9.404110072913363e-4,-0.010864405705904318,0.00887453687713577,0.432,0.864
2,boston,0.4534694132029529,0.45309605536248077,-4.750812023803508e-4,-0.01140978296982394,0.010737966216450144,0.465,0.93
2,charlotte,0.5065180577063502,0.506100726907426,-4.7639492361883917e-4,-0.011173518094538237,0.009601727099226633,0.467,0.934
2,chicago,0.5061729556560534,0.5042212557119872,-0.0020214672909356635,-0.0074418890015295275,0.003478829438677749,0.246,0.492
2,columbus,0.5568388395368123,0.5552497774881928,-0.001789285035293131,-0.010349179210223967,0.008453318256925395,0.353,0.706
2,dallas,0.46975232082607365,0.4673093336803206,-0.0022253509198010557,-0.010294459446861769,0.005012808347134279,0.286,0.572
2,dc,0.5052392083118203,0.5038196542437201,-0.0016933581835584244,-0.012422708252149996,0.009514926980815006,0.406,0.812
2,denver,0.4878165411209111,0.48640972064165056,-0.0015920645950101286,-0.01363978243719536,0.01041597090659088,0.41,0.82
2,el_paso,0.48236024283042156,0.47827820228678536,-0.0038896772946088454,-0.016943119413228583,0.008802870650879962,0.28,0.56
2,fort_worth,0.5062419485331913,0.5040857168325272,-0.002445367676282284,-0.012139380100753897,0.009058417536288116,0.323,0.646
2,houston,0.4758494059860442,0.4735439435901284,-0.0023862049884207648,-0.007511358714847584,0.002899188965163559,0.195,0.39
2,indianapolis,0.5352586693983603,0.535061485588082,-5.120411462743446e-4,-0.010163784159595183,0.00934416900720988,0.472,0.944
2,jacksonville,0.5337227489983067,0.5326167213754912,-0.0014577584425088386,-0.012239839838623812,0.010393623922191937,0.405,0.81
2,la,0.43919373766192593,0.4351327746121237,-0.004025905245221034,-0.008930384050494566,9.06392381165611e-4,0.059,0.118
2,nashville,0.5187778884088894,0.5186337204261214,6.345474767238679e-5,-0.012775335634849672,0.012258278524756711,0.496,0.992
2,nyc,0.44488321658328844,0.4440181903493622,-9.265273978947552e-4,-0.004214770878467384,0.0024394591193254915,0.304,0.608
2,oklahoma,0.5245428997085324,0.5228654785781033,-0.0018193130251528689,-0.011377924297946235,0.008056241881653544,0.393,0.786
2,philadelphia,0.517811064813042,0.5139887855679375,-0.0038853429835681297,-0.011952449004721125,0.0040930053616483825,0.181,0.362
2,phoenix,0.4903006870837723,0.4880347350238655,-0.0022395134286058715,-0.0101659324450986,0.005705172875149315,0.301,0.602
2,portland,0.5081759062894584,0.5063659836490401,-0.0018906647627029982,-0.014114726222216056,0.01005115895956618,0.377,0.754
2,san_antonio,0.4897568903129299,0.48622082466252065,-0.003444723840786923,-0.012132967857162185,0.0049850587801887085,0.22,0.44
2,san_diego,0.4833738753928677,0.48152914444346107,-0.001901163274341311,-0.010274847892726416,0.006626696289041199,0.322,0.644
2,san_francisco,0.42370615592088506,0.42109425448895554,-0.00252883544704699,-0.012671342680127814,0.007781742615929065,0.318,0.636
2,san_jose,0.4426757690541353,0.4407364780978995,-0.0016863362616546806,-0.011800880150951747,0.007956047291094424,0.366,0.732
2,seattle,0.48901514738080104,0.4872057409370084,-0.0019380740356148285,-0.013361169130490192,0.009641193615183546,0.367,0.734
3,austin,0.6640850823155935,0.670047352235469,0.006151082589325951,-0.01679854943449416,0.025333033311426587,0.269,0.538
3,boston,0.5798476436467912,0.5853151880001717,0.005260695035382901,-0.019609322847660888,0.027725985749651766,0.345,0.69
3,charlotte,0.4144050624810012,0.418969084680596,0.0046149124395799546,-0.017110541397187047,0.027420752036565046,0.327,0.654
3,chicago,0.37705795666188224,0.3965328347243224,0.019561174018268485,0.008798493068317459,0.030887338887952608,0,0
3,columbus,0.5904105364427369,0.6040223612036227,0.01353032429182699,-0.006463795703677386,0.03361327871720831,0.079,0.158
3,dallas,0.37505902589547857,0.3831391832929777,0.007800786941176474,-0.00813029682753117,0.024883200231387705,0.153,0.306
3,dc,0.6430946359991465,0.6475015832180706,0.004332749361286969,-0.019227532484391643,0.028374513838770883,0.382,0.764
3,denver,0.5464413641318151,0.5565901896235871,0.01000305565790599,-0.0165355459158726,0.03841287955786408,0.26,0.52
3,el_paso,0.3268992370142568,0.3327163603246651,0.005915982181221774,-0.01877811395707059,0.03183779189280255,0.328,0.656
3,fort_worth,0.38246942105533455,0.38884898439469756,0.0069063206357611595,-0.015537470925741415,0.02922359590823035,0.285,0.57
3,houston,0.4524535016707405,0.4559790097137833,0.0034604625173410286,-0.008938527161408805,0.014860841663232219,0.277,0.554
3,indianapolis,0.5270523213600942,0.5331549705105159,0.005938699147621018,-0.01702873264465284,0.028907571980502866,0.316,0.632
3,jacksonville,0.4786315274779059,0.48337362847089915,0.004468626139495724,-0.020178282553715742,0.030329300179294236,0.371,0.742
3,la,0.3177044100730516,0.3411768601201681,0.02338307585772087,0.013223519765668153,0.03357171255350723,0,0
3,nashville,0.552313040095104,0.555859700487076,0.0028084274536797627,-0.024424704529305296,0.03204139801929504,0.414,0.828
3,nyc,0.28556601398858145,0.3285265372978994,0.04284484558893281,0.036389583494675096,0.04980591420952189,0,0
3,oklahoma,0.4850658927476844,0.4901411455007278,0.00541405944228851,-0.017575513302089386,0.028943570424801474,0.318,0.636
3,philadelphia,0.4473423026638317,0.46647764323219365,0.019086785596373085,0.00127690061707816,0.037202018503394996,0.019,0.038
3,phoenix,0.39728704071302234,0.4089547129486457,0.011254103927399645,-0.005540870365184119,0.0296586686570927,0.092,0.184
3,portland,0.5402254328453779,0.5475076910870337,0.007817395819246453,-0.017473453651963414,0.03329233849729015,0.291,0.582
3,san_antonio,0.38484426825260276,0.39297875816303396,0.007997137578300534,-0.010871406372278661,0.026707233332924067,0.186,0.372
3,san_diego,0.4180295362273603,0.42774762855153836,0.01036621288050718,-0.007391303638057367,0.027126095499309208,0.145,0.29
3,san_francisco,0.532880278907116,0.5445808243697323,0.0112290748805019,-0.012846355719916921,0.03599881658462476,0.188,0.376
3,san_jose,0.3602675055171593,0.37001456000490984,0.009685825585484004,-0.011851101811356157,0.029675228548993397,0.19,0.38
