modelid,sigma
total_social_capital,0.21216637926355467
total_bonding,0.24080160907153467
total_bridging,0.5751496244918702
total_linking,0.467282084425752
subtypes_social_capital,0.21162507735031252
subtypes_bonding,0.24031040570988033
subtypes_bridging,0.5712429894428
subtypes_linking,0.46756419074239736
