place_id,name,lat,lng,type,term,categories,business_status,user_ratings_total
ChIJJ93IOwF844kRqQb4TxBG_2o,State Temple Church of God In Christ,42.27897530000001,-71.0922673,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,2
ChIJJ9a-JWd544kRxdeZcLVmVqY,Bethel AME Church Sanctuary,42.2947471,-71.1146325,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,13
ChIJj9iftkJ344kRonS1R4-PR8I,"Barre & Soul, Harvard Square Yoga and Barre Studio",42.3726521,-71.1198805,Park,square,gym; health; point_of_interest; establishment,OPERATIONAL,49
ChIJj9v0bJF444kRNt8i3xrph2s,Starbucks,42.321624,-71.175871,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,36
ChIJjasjHrFx44kRK1I5zF_pvnI,Bellingham Square,42.3931729,-71.0337121,Park,square,town_square,NA,NA
ChIJJb1XRW5644kRBqEDvlcEfRE,Ars Libri Ltd,42.3421138,-71.06580509999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,5
ChIJjb7IXT1x44kRk8nvtENBFk0,Old Corner Book Store,42.3575358,-71.0583808,Social Business,bookstore,point_of_interest; establishment,OPERATIONAL,39
ChIJjc4Ug4N744kRmTie6l0to1k,McDonald's,42.2823466,-71.05513859999999,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,1134
ChIJJcGQMEVw44kR6T_W7PfaadQ,Central Assembly of God Church,42.375721,-71.037295,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,7
ChIJjchI3Q1644kR3f0KWZpiEYc,Montblanc,42.34710260000001,-71.07800840000002,Park,fountain,jewelry_store; point_of_interest; store; establishment,OPERATIONAL,15
ChIJJdPF5RSF5IkReel5CnHRsWE,Chapel of Mary,42.3568366,-71.058616,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3
ChIJje4vaK9744kRreBq6kNp2pM,Men & Women-Crossroads Ministries,42.30524279999999,-71.0574944,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJJej3GY5644kRpTmjS-jxrCU,South Boston Branch of the Boston Public Library,42.3357214,-71.0385921,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,18
